Название блюда;Ингредиент;Вес (г);Ккал;Белки;Жиры;Углеводы
Курочка по-китайски с рисом;Рис;50;175;3;1;40
Курочка по-китайски с рисом;Филе куриное;100;120;21;4;0
Курочка по-китайски с рисом;Соус соевый;4;1;0;0;0
Курочка по-китайски с рисом;Кетчуп;14;15;0;0;4
Курочка по-китайски с рисом;Сахар;5;20;0;0;5
Курочка по-китайски с рисом;Масло растительное;8;72;0;8;0
Курочка по-китайски с рисом;Перец сладкий;23;6;0;0;1
Питьевой йогурт и банан;Йогурт питьевой;260;156;12;8;10
Питьевой йогурт и банан;Банан;150;134;2;0;35
Паста с креветками;Креветки;80;71;12;2;2
Паста с креветками;Сыр лёгкий;20;58;6;4;0
Паста с креветками;Макароны;50;172;7;1;36
Паста с креветками;Сыр творожный;20;45;1;4;1
Паста с креветками;Помидоры;30;4;0;0;1
Паста с креветками;Масло растительное;5;45;0;5;0
Фруктовый салат;Яблоко;170;81;1;1;17
Фруктовый салат;Киви;75;35;1;0;6
Фруктовый салат;Банан;150;134;2;0;35
Куриные стрипсы;Мука пшеничная;30;102;4;0;21
Куриные стрипсы;Сухари панировочные;30;116;3;3;20
Куриные стрипсы;Яйцо;74;107;9;7;1
Куриные стрипсы;Филе куриное;120;144;25;5;0
Куриные стрипсы;Йогурт греческий;50;32;4;1;1
Куриные стрипсы;Укроп;10;4;0;0;1
Куриные стрипсы;Чеснок;5;7;0;0;2
Кесадилья;Тортилья Mission;83;233;6;6;38
Кесадилья;Филе куриное;80;96;17;3;0
Кесадилья;Помидоры;50;7;0;0;2
Кесадилья;Перец сладкий;50;14;1;0;3
Кесадилья;Кукуруза;40;32;1;0;6
Кесадилья;Сыр лёгкий;20;58;6;4;0
Банановые панкейки;Банан;150;134;2;0;35
Банановые панкейки;Мука пшеничная;50;170;6;1;35
Банановые панкейки;Разрыхлитель;2;5;0;0;1
Банановые панкейки;Мед;25;80;0;0;20
Банановые панкейки;Яйцо;74;107;9;7;1
Фарш с макаронами;Лук репчатый;35;14;0;0;3
Фарш с макаронами;Фарш куриный;113;146;23;6;2
Фарш с макаронами;Морковь;50;21;0;0;5
Фарш с макаронами;Масло растительное;5;45;0;5;0
Фарш с макаронами;Макароны;50;172;7;1;36
Фарш с макаронами;Кетчуп;14;15;0;0;4
Ролл с креветкой;Креветки;75;67;11;2;2
Ролл с креветкой;Тортилья Mission;41;115;3;3;19
Ролл с креветкой;Помидоры;50;7;0;0;2
Ролл с креветкой;Огурец;30;5;0;0;1
Ролл с креветкой;Сыр творожный;20;45;1;4;1
Паста болоньезе;Макароны;50;172;7;1;36
Паста болоньезе;Сыр лёгкий;25;72;8;5;0
Паста болоньезе;Пассата;88;57;3;0;10
Паста болоньезе;Фарш домашний;100;318;12;30;0
Паста болоньезе;Морковь;50;21;0;0;5
Паста болоньезе;Лук репчатый;35;14;0;0;3
Шаурма;Филе куриное;100;120;21;4;0
Шаурма;Лаваш армянский;30;78;2;0;17
Шаурма;Огурец;50;8;0;0;2
Шаурма;Соус для шаурмы;10;41;0;4;1
Шаурма;Помидоры;50;7;0;0;2
Жаркое;Помидоры;50;7;0;0;2
Жаркое;Филе куриное;100;120;21;4;0
Жаркое;Морковь;50;21;0;0;5
Жаркое;Картофель;100;77;2;0;16
Жаркое;Лук репчатый;20;8;0;0;2
Жаркое;Масло растительное;5;45;0;5;0
Омлет с сосисками и помидорами;Масло растительное;8;72;0;8;0
Омлет с сосисками и помидорами;Сосиски сочный гриль;70;121;7;9;3
Омлет с сосисками и помидорами;Помидоры;70;10;0;0;3
Омлет с сосисками и помидорами;Яйцо;111;160;14;11;1
Омлет с сосисками и помидорами;Сыр лёгкий;50;144;16;9;0
Пюре с котлетами;Котлеты Троекурово XXL куриные;175;385;26;4;12
Пюре с котлетами;Картофель;250;193;5;1;41
Пюре с котлетами;Огурец;70;12;1;0;2
Пюре с котлетами;Масло растительное;5;45;0;5;0
Курица с овощами в духовке;Голени куриные;200;400;38;32;0
Курица с овощами в духовке;Перец сладкий;138;37;2;0;7
Курица с овощами в духовке;Помидоры;200;28;1;0;8
Курица с овощами в духовке;Морковь;33;13;0;0;3
Курица с овощами в духовке;Лук репчатый;43;17;0;0;4
Курица с овощами в духовке;Картофель;150;116;3;1;24
Курица с овощами в духовке;Масло растительное;5;45;0;5;0
Драники;Картофель;250;193;5;1;41
Драники;Яйцо;38;54;5;4;0
Драники;Лук репчатый;35;14;0;0;3
Драники;Мука пшеничная;30;102;4;0;21
Драники;Масло растительное;5;45;0;5;0
Бутерброд с колбасой;Хлеб белый;35;91;3;1;18
Бутерброд с колбасой;Огурец;35;6;0;0;1
Бутерброд с колбасой;Помидоры;38;5;0;0;1
Бутерброд с колбасой;Кетчуп;15;17;0;0;4
Бутерброд с колбасой;Сыр лёгкий;20;58;6;4;0
Бутерброд с колбасой;Сервелат;35;72;4;6;0
Пюре со шницелем;Шницель куриный Троекурово охлажденный;175;350;25;23;14
Пюре со шницелем;Картофель;250;193;5;1;41
Пюре со шницелем;Огурец;70;12;1;0;2
Пюре со шницелем;Масло растительное;5;45;0;5;0
Наггетсы ;Наггетсы Мираторг куриные хрустящие замороженные;250;457;33;19;40
Английский завтрак;Яйцо;75;108;10;8;1
Английский завтрак;Бекон Велком Двойное копчение сырокопченый;75;315;12;30;0
